section,type,field,party,candidate,got,expected,comment
020400183,preferences,candidate,12,110,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,12,111,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,12,112,MISSING,total=1 paper=0 machine=1,missing_data
020400183,preferences,candidate,12,113,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,12,114,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,12,115,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,12,116,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,12,117,MISSING,total=1 paper=1 machine=0,missing_data
020400183,preferences,candidate,12,Без,MISSING,total=11 paper=8 machine=3,missing_data
020400183,preferences,candidate,13,123,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,13,124,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,13,125,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,13,126,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,13,127,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,13,128,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,13,Без,total=0 paper=0 machine=0,total=1 paper=1 machine=0,likely_ocr: value missed (read as 0/empty)
020400183,preferences,candidate,17,Без,total=0 paper=0 machine=0,total=2 paper=2 machine=0,likely_ocr: value missed (read as 0/empty)
020400183,preferences,candidate,18,101,total=2 paper=1 machine=1,total=15 paper=14 machine=1,unknown_cause
020400183,preferences,candidate,18,123,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,18,124,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,18,125,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,18,126,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,18,127,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,18,128,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,18,Без,total=0 paper=0 machine=0,total=22 paper=15 machine=7,likely_ocr: value missed (read as 0/empty)
020400183,preferences,candidate,20,101,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,20,102,MISSING,total=0 paper=0 machine=0,missing_data
020400183,preferences,candidate,20,103,MISSING,total=0 paper=0 machine=0,missing_data
